Eastern Austria;<AT1>
Southern Austria;<AT2>
Western Austria;<AT3>
Burgenland;<AT11>
Lower Austria;<AT12>
Vienna;<AT13>
Carinthia;<AT21>
Styria;<AT22>
Upper Austria;<AT31>
Salzburg;<AT32>
Tyrol;<AT33>
Vorarlberg;<AT34>
Mittelburgenland;<AT111>
Nordburgenland;<AT112>
Südburgenland;<AT113>
Mostviertel-Eisenwurzen;<AT121>
Niederösterreich-Süd;<AT122>
Sankt Pölten;<AT123>
Waldviertel;<AT124>
Weinviertel;<AT125>
Wiener Umland-Nordteil;<AT126>
Wiener Umland-Südteil;<AT127>
Wien;<AT130>
Klagenfurt-Villach;<AT211>
Oberkärnten;<AT212>
Unterkärnten;<AT213>
Graz;<AT221>
Liezen;<AT222>
Östliche Obersteiermark;<AT223>
Oststeiermark;<AT224>
West- und Südsteiermark;<AT225>
Westliche Obersteiermark;<AT226>
Innviertel;<AT311>
Linz-Wels;<AT312>
Mühlviertel;<AT313>
Steyr-Kirchdorf;<AT314>
Traunviertel;<AT315>
Lungau;<AT321>
Pinzgau-Pongau;<AT322>
Salzburg und Umgebung;<AT323>
Außerfern;<AT331>
Innsbruck;<AT332>
Osttirol;<AT333>
Tiroler Oberland;<AT334>
Tiroler Unterland;<AT335>
Bludenz-Bregenzer Wald;<AT341>
Rheintal-Bodenseegebiet;<AT342>
